codellama:7b-instruct-acting-noyap,acting,PLAN,83,8633
codellama:7b-instruct-acting-noyap,acting,ACT,99,9784
codellama:7b-instruct-acting-noyap,acting,ACT,101,9000
codellama:7b-instruct-acting-noyap,acting,ACT,97,8922
codellama:7b-instruct-noyap,general,PLAN,53,5739
codellama:7b-instruct-noyap,general,PLAN,50,5546
codellama:7b-instruct-noyap,general,PLAN,52,5448
codellama:7b-instruct-noyap,general,PLAN,53,5650
codellama:7b-instruct-noyap,general,PLAN,50,5253
codellama:7b-instruct-noyap,general,ACT,52,5892
codellama:7b-instruct-noyap,general,ACT,50,5055
codellama:7b-instruct-noyap,general,ACT,52,5364
codegemma:7b-acting-noyap,acting,PLAN,68,21655
codegemma:7b-acting-noyap,acting,PLAN,122,10419
codegemma:7b-acting-noyap,acting,PLAN,69,6416
codegemma:7b-acting-noyap,acting,PLAN,98,8657
codegemma:7b-acting-noyap,acting,PLAN,115,10010
codegemma:7b-acting-noyap,acting,ACT,50,5154
codegemma:7b-acting-noyap,acting,ACT,125,10009
codegemma:7b-acting-noyap,acting,ACT,116,9327
codegemma:2b-acting-noyap,acting,PLAN,24,6654
codegemma:2b-acting-noyap,acting,PLAN,3,691
codegemma:2b-acting-noyap,acting,PLAN,15,3855
codegemma:2b-acting-noyap,acting,PLAN,3,702
codegemma:2b-acting-noyap,acting,PLAN,21,4360
codegemma:2b-acting-noyap,acting,ACT,21,4935
codegemma:2b-acting-noyap,acting,ACT,21,4660
codegemma:2b-acting-noyap,acting,ACT,10,2233
qwen2.5:7b-planning-noyap,planning,PLAN,57,16928
qwen2.5:7b-planning-noyap,planning,PLAN,8,1436
qwen2.5:7b-planning-noyap,planning,PLAN,18,2488
qwen2.5:7b-planning-noyap,planning,PLAN,25,3257
qwen2.5:7b-planning-noyap,planning,PLAN,16,2190
qwen2.5:7b-planning-noyap,planning,ACT,32,4120
qwen2.5:7b-planning-noyap,planning,ACT,36,4248
qwen2.5:7b-planning-noyap,planning,ACT,44,5097
base:noyap,general,PLAN,54,16420
base:noyap,general,PLAN,18,2587
base:noyap,general,PLAN,22,2884
base:noyap,general,PLAN,16,2534
base:noyap,general,PLAN,14,2053
base:noyap,general,ACT,48,5532
base:noyap,general,ACT,44,4836
base:noyap,general,ACT,44,5188
granite-code:8b,general,PLAN,68,8415
granite-code:8b,general,PLAN,60,6096
granite-code:8b,general,PLAN,86,8255
granite-code:8b,general,PLAN,104,9734
granite-code:8b,general,PLAN,85,6925
granite-code:8b,general,ACT,47,4982
granite-code:8b,general,ACT,81,7161
granite-code:8b,general,ACT,80,6925
starcoder2:3b,general,PLAN,17,4248
starcoder2:3b,general,PLAN,32,6351
starcoder2:3b,general,PLAN,25,4731
starcoder2:3b,general,PLAN,30,6517
starcoder2:3b,general,PLAN,10,1855
starcoder2:3b,general,ACT,10,2097
starcoder2:3b,general,ACT,71,12711
starcoder2:3b,general,ACT,66,12704
starcoder2:7b,general,PLAN,21,4744
starcoder2:7b,general,PLAN,27,2621
starcoder2:7b,general,PLAN,10,1622
starcoder2:7b,general,PLAN,83,7734
starcoder2:7b,general,PLAN,9,1583
starcoder2:7b,general,ACT,4,1525
starcoder2:7b,general,ACT,72,7194
starcoder2:7b,general,ACT,54,5786
qwen2.5-coder:7b,general,PLAN,232,25593
qwen2.5-coder:7b,general,PLAN,63,7455
qwen2.5-coder:7b,general,PLAN,136,14031
qwen2.5-coder:7b,general,PLAN,92,10410
qwen2.5-coder:7b,general,PLAN,227,20950
qwen2.5-coder:7b,general,ACT,72,8129
qwen2.5-coder:7b,general,ACT,149,14921
qwen2.5-coder:7b,general,ACT,134,13583
granite-code:3b,general,PLAN,7,2512
granite-code:3b,general,PLAN,8,1807
granite-code:3b,general,PLAN,1,500
granite-code:3b,general,PLAN,2,701
granite-code:3b,general,PLAN,2,623
granite-code:3b,general,ACT,2,772
granite-code:3b,general,ACT,4,1059
granite-code:3b,general,ACT,2,483
codegemma:7b,general,PLAN,145,14507
codegemma:7b,general,PLAN,106,9038
codegemma:7b,general,PLAN,124,9928
codegemma:7b,general,PLAN,134,11072
codegemma:7b,general,PLAN,138,10376
codegemma:7b,general,ACT,122,9810
codegemma:7b,general,ACT,108,8475
codegemma:7b,general,ACT,140,10807
codegemma:2b,general,PLAN,27,7574
codegemma:2b,general,PLAN,37,9139
codegemma:2b,general,PLAN,41,10077
codegemma:2b,general,PLAN,10,2654
codegemma:2b,general,PLAN,65,14827
codegemma:2b,general,ACT,55,13140
codegemma:2b,general,ACT,92,19621
codegemma:2b,general,ACT,67,14959
qwen2.5:3b,general,PLAN,82,19306
qwen2.5:3b,general,PLAN,59,13472
qwen2.5:3b,general,PLAN,73,16438
qwen2.5:3b,general,PLAN,76,17460
qwen2.5:3b,general,PLAN,123,24949
qwen2.5:3b,general,ACT,66,13715
qwen2.5:3b,general,ACT,53,11206
qwen2.5:3b,general,ACT,63,13622
qwen2.5:7b,general,PLAN,144,17462
qwen2.5:7b,general,PLAN,149,15504
qwen2.5:7b,general,PLAN,166,16479
qwen2.5:7b,general,PLAN,168,17313
qwen2.5:7b,general,PLAN,189,18841
